#species: Scientific name.
#SVR: Average per-intron alternative splicing rate among BUSCO major introns (%).
#Bioproject: Bioproject.
#couverture: Median per-base read coverage across BUSCO genes.
#nbIntron: Number of introns studied.
#list_rnaseq: SRA Accession of the RNA-seq samples studied.
#organs: Organs studied.
species	SVR	Bioproject	couverture	nbIntron	list_rnaseq	organs
Monodelphis_domestica	1.96041526242004	Brain PRJEB27035	1957	7544	ERR2603854;ERR2603855;ERR2603856;ERR2603857;ERR2603873;ERR2603891;ERR2603892;ERR2603893;ERR2603804;ERR2603805;ERR2603806;ERR2603807;ERR2603821;ERR2603822;ERR2603823;ERR2603824;ERR2603841;ERR2603842;ERR2603843;ERR2603742;ERR2603743;ERR2603744;ERR2603745;ERR2603764;ERR2603765;ERR2603766;ERR2603767;ERR2603783;ERR2603784;ERR2603785;ERR2603786;ERR2603685;ERR2603686;ERR2603687;ERR2603702;ERR2603703;ERR2603704;ERR2603724;ERR2603725;ERR2603726;ERR2603641;ERR2603642;ERR2603652;ERR2603653;ERR2603654;ERR2603662;ERR2603663;ERR2603664;ERR2603665	Brain
Monodelphis_domestica	1.70585197645519	Heart PRJEB27035	1809	7524	ERR2603858;ERR2603859;ERR2603860;ERR2603861;ERR2603874;ERR2603875;ERR2603876;ERR2603894;ERR2603895;ERR2603896;ERR2603808;ERR2603809;ERR2603825;ERR2603826;ERR2603827;ERR2603828;ERR2603844;ERR2603746;ERR2603747;ERR2603748;ERR2603749;ERR2603768;ERR2603769;ERR2603770;ERR2603771;ERR2603787;ERR2603788;ERR2603688;ERR2603689;ERR2603690;ERR2603705;ERR2603706;ERR2603707;ERR2603708;ERR2603727;ERR2603728;ERR2603729;ERR2603643;ERR2603644;ERR2603645;ERR2603655;ERR2603656;ERR2603657;ERR2603666;ERR2603667;ERR2603668;ERR2603669	Heart
Monodelphis_domestica	2.04007907100606	Cerebellum PRJEB27035	1976	7560	ERR2603862;ERR2603863;ERR2603864;ERR2603877;ERR2603878;ERR2603879;ERR2603897;ERR2603898;ERR2603899;ERR2603810;ERR2603811;ERR2603812;ERR2603829;ERR2603830;ERR2603831;ERR2603832;ERR2603845;ERR2603846;ERR2603750;ERR2603751;ERR2603752;ERR2603772;ERR2603773;ERR2603774;ERR2603775;ERR2603776;ERR2603789;ERR2603790;ERR2603791;ERR2603691;ERR2603692;ERR2603693;ERR2603709;ERR2603710;ERR2603711;ERR2603730;ERR2603731;ERR2603646;ERR2603647;ERR2603648;ERR2603658;ERR2603659;ERR2603670;ERR2603671;ERR2603672	Cerebellum
Monodelphis_domestica	1.5223940358431	Liver PRJEB27035	1497	7555	ERR2603865;ERR2603866;ERR2603867;ERR2603868;ERR2603883;ERR2603884;ERR2603885;ERR2603886;ERR2603903;ERR2603904;ERR2603905;ERR2603796;ERR2603797;ERR2603798;ERR2603799;ERR2603816;ERR2603817;ERR2603833;ERR2603834;ERR2603835;ERR2603836;ERR2603850;ERR2603735;ERR2603736;ERR2603737;ERR2603756;ERR2603757;ERR2603758;ERR2603759;ERR2603777;ERR2603778;ERR2603779;ERR2603780;ERR2603677;ERR2603678;ERR2603679;ERR2603680;ERR2603696;ERR2603697;ERR2603698;ERR2603716;ERR2603717;ERR2603718;ERR2603719;ERR2603649;ERR2603650;ERR2603651;ERR2603660;ERR2603661	Liver
Monodelphis_domestica	1.77118649721045	Ovary PRJEB27035	1084	7577	ERR2603869;ERR2603870;ERR2603887;ERR2603888;ERR2603906;ERR2603907;ERR2603800;ERR2603801;ERR2603818;ERR2603837;ERR2603838;ERR2603851;ERR2603738;ERR2603739;ERR2603760;ERR2603761;ERR2603781;ERR2603681;ERR2603682;ERR2603699;ERR2603700;ERR2603720;ERR2603721	Ovary
Monodelphis_domestica	2.12501928055571	Testis PRJEB27035	1280	7561	ERR2603871;ERR2603872;ERR2603889;ERR2603890;ERR2603908;ERR2603909;ERR2603802;ERR2603803;ERR2603819;ERR2603820;ERR2603839;ERR2603840;ERR2603852;ERR2603853;ERR2603740;ERR2603741;ERR2603762;ERR2603763;ERR2603782;ERR2603683;ERR2603684;ERR2603701;ERR2603722;ERR2603723	Testis
Monodelphis_domestica	1.60124748899977	Kidney PRJEB27035	1347	7566	ERR2603880;ERR2603881;ERR2603882;ERR2603900;ERR2603901;ERR2603902;ERR2603794;ERR2603795;ERR2603813;ERR2603814;ERR2603815;ERR2603847;ERR2603848;ERR2603849;ERR2603734;ERR2603753;ERR2603754;ERR2603755;ERR2603792;ERR2603793;ERR2603674;ERR2603675;ERR2603676;ERR2603694;ERR2603695;ERR2603712;ERR2603713;ERR2603714;ERR2603715;ERR2603732;ERR2603733;ERR2603673	Kidney
Mus_musculus	1.63819241672901	Kidney PRJEB26869	2143	7547	ERR2588675;ERR2588676;ERR2588677;ERR2588678;ERR2588627;ERR2588628;ERR2588629;ERR2588630;ERR2588651;ERR2588652;ERR2588653;ERR2588654;ERR2588557;ERR2588558;ERR2588559;ERR2588560;ERR2588580;ERR2588581;ERR2588582;ERR2588583;ERR2588603;ERR2588604;ERR2588605;ERR2588606;ERR2588509;ERR2588510;ERR2588511;ERR2588512;ERR2588533;ERR2588534;ERR2588535;ERR2588536;ERR2588438;ERR2588439;ERR2588440;ERR2588441;ERR2588462;ERR2588463;ERR2588464;ERR2588485;ERR2588486;ERR2588487;ERR2588488;ERR2588389;ERR2588390;ERR2588391;ERR2588392;ERR2588410;ERR2588411;ERR2588412;ERR2588413	Kidney
Mus_musculus	1.66906443975495	Liver PRJEB26869	2042	7546	ERR2588679;ERR2588680;ERR2588681;ERR2588682;ERR2588631;ERR2588632;ERR2588633;ERR2588634;ERR2588655;ERR2588656;ERR2588657;ERR2588658;ERR2588561;ERR2588562;ERR2588563;ERR2588564;ERR2588584;ERR2588585;ERR2588586;ERR2588587;ERR2588607;ERR2588608;ERR2588609;ERR2588610;ERR2588513;ERR2588514;ERR2588515;ERR2588516;ERR2588537;ERR2588538;ERR2588539;ERR2588540;ERR2588442;ERR2588443;ERR2588444;ERR2588445;ERR2588446;ERR2588465;ERR2588466;ERR2588467;ERR2588468;ERR2588489;ERR2588490;ERR2588491;ERR2588492;ERR2588375;ERR2588376;ERR2588377;ERR2588393;ERR2588394;ERR2588395;ERR2588396;ERR2588397;ERR2588414;ERR2588415;ERR2588416;ERR2588417;ERR2588374	Liver
Mus_musculus	1.75120681261577	Ovary PRJEB26869	1227	7548	ERR2588683;ERR2588684;ERR2588635;ERR2588636;ERR2588659;ERR2588660;ERR2588565;ERR2588566;ERR2588588;ERR2588589;ERR2588611;ERR2588612;ERR2588517;ERR2588518;ERR2588541;ERR2588542;ERR2588447;ERR2588448;ERR2588469;ERR2588470;ERR2588493;ERR2588494;ERR2588378;ERR2588379;ERR2588398;ERR2588399;ERR2588418;ERR2588419	Ovary
Mus_musculus	1.88941612121229	Testis PRJEB26869	1222	7535	ERR2588685;ERR2588686;ERR2588637;ERR2588638;ERR2588661;ERR2588662;ERR2588567;ERR2588590;ERR2588591;ERR2588613;ERR2588614;ERR2588495;ERR2588496;ERR2588519;ERR2588520;ERR2588543;ERR2588544;ERR2588449;ERR2588450;ERR2588471;ERR2588472;ERR2588380;ERR2588381;ERR2588400;ERR2588401;ERR2588420;ERR2588421	Testis
Mus_musculus	1.94598469342343	Brain PRJEB26869	2033	7501	ERR2588615;ERR2588616;ERR2588617;ERR2588618;ERR2588639;ERR2588640;ERR2588641;ERR2588642;ERR2588663;ERR2588664;ERR2588665;ERR2588666;ERR2588568;ERR2588569;ERR2588570;ERR2588571;ERR2588592;ERR2588593;ERR2588594;ERR2588595;ERR2588497;ERR2588498;ERR2588499;ERR2588500;ERR2588521;ERR2588522;ERR2588523;ERR2588524;ERR2588545;ERR2588546;ERR2588547;ERR2588548;ERR2588451;ERR2588452;ERR2588453;ERR2588454;ERR2588473;ERR2588474;ERR2588475;ERR2588476;ERR2588382;ERR2588383;ERR2588384;ERR2588402;ERR2588403;ERR2588404;ERR2588405;ERR2588422;ERR2588423;ERR2588424;ERR2588425;ERR2588426;ERR2588427;ERR2588428;ERR2588429	Brain
Mus_musculus	1.63165301145404	Heart PRJEB26869	1755	7504	ERR2588619;ERR2588620;ERR2588621;ERR2588622;ERR2588643;ERR2588644;ERR2588645;ERR2588646;ERR2588667;ERR2588668;ERR2588669;ERR2588670;ERR2588572;ERR2588573;ERR2588574;ERR2588575;ERR2588596;ERR2588597;ERR2588598;ERR2588599;ERR2588501;ERR2588502;ERR2588503;ERR2588504;ERR2588525;ERR2588526;ERR2588527;ERR2588528;ERR2588549;ERR2588550;ERR2588551;ERR2588552;ERR2588455;ERR2588456;ERR2588457;ERR2588477;ERR2588478;ERR2588479;ERR2588480;ERR2588385;ERR2588386;ERR2588387;ERR2588388;ERR2588406;ERR2588407;ERR2588408;ERR2588409;ERR2588430;ERR2588431;ERR2588432;ERR2588433;ERR2588370;ERR2588371;ERR2588372;ERR2588373	Heart
Mus_musculus	1.95756683388698	Cerebellum PRJEB26869	1598	7483	ERR2588623;ERR2588624;ERR2588625;ERR2588626;ERR2588647;ERR2588648;ERR2588649;ERR2588650;ERR2588671;ERR2588672;ERR2588673;ERR2588674;ERR2588555;ERR2588556;ERR2588576;ERR2588577;ERR2588578;ERR2588579;ERR2588600;ERR2588601;ERR2588602;ERR2588505;ERR2588506;ERR2588507;ERR2588508;ERR2588529;ERR2588530;ERR2588531;ERR2588532;ERR2588553;ERR2588554;ERR2588435;ERR2588436;ERR2588437;ERR2588458;ERR2588459;ERR2588460;ERR2588461;ERR2588481;ERR2588482;ERR2588483;ERR2588484;ERR2588434	Cerebellum
Oryctolagus_cuniculus	2.08965352178143	Cerebellum PRJEB26840	2095	7088	ERR2587655;ERR2587673;ERR2587674;ERR2587675;ERR2587676;ERR2587606;ERR2587607;ERR2587608;ERR2587609;ERR2587630;ERR2587631;ERR2587632;ERR2587633;ERR2587652;ERR2587653;ERR2587654;ERR2587535;ERR2587536;ERR2587558;ERR2587559;ERR2587583;ERR2587584;ERR2587585;ERR2587586;ERR2587482;ERR2587483;ERR2587484;ERR2587485;ERR2587506;ERR2587507;ERR2587508;ERR2587533;ERR2587534;ERR2587426;ERR2587427;ERR2587428;ERR2587429;ERR2587454;ERR2587455;ERR2587456;ERR2587457;ERR2587399;ERR2587400;ERR2587401;ERR2587402	Cerebellum
Oryctolagus_cuniculus	1.75928522155174	Kidney PRJEB26840	2315	7145	ERR2587656;ERR2587657;ERR2587658;ERR2587659;ERR2587677;ERR2587678;ERR2587679;ERR2587680;ERR2587610;ERR2587611;ERR2587612;ERR2587613;ERR2587634;ERR2587635;ERR2587636;ERR2587637;ERR2587537;ERR2587538;ERR2587539;ERR2587540;ERR2587560;ERR2587561;ERR2587562;ERR2587563;ERR2587587;ERR2587588;ERR2587589;ERR2587590;ERR2587486;ERR2587487;ERR2587488;ERR2587489;ERR2587509;ERR2587510;ERR2587511;ERR2587512;ERR2587430;ERR2587431;ERR2587432;ERR2587433;ERR2587458;ERR2587459;ERR2587460;ERR2587461;ERR2587403;ERR2587404;ERR2587405;ERR2587406	Kidney
Oryctolagus_cuniculus	1.71476026209067	Liver PRJEB26840	2051	7137	ERR2587660;ERR2587661;ERR2587662;ERR2587663;ERR2587681;ERR2587682;ERR2587683;ERR2587684;ERR2587614;ERR2587615;ERR2587616;ERR2587617;ERR2587638;ERR2587639;ERR2587640;ERR2587541;ERR2587542;ERR2587543;ERR2587544;ERR2587564;ERR2587565;ERR2587566;ERR2587567;ERR2587591;ERR2587592;ERR2587593;ERR2587594;ERR2587490;ERR2587491;ERR2587492;ERR2587493;ERR2587513;ERR2587514;ERR2587515;ERR2587516;ERR2587434;ERR2587435;ERR2587436;ERR2587437;ERR2587462;ERR2587463;ERR2587464;ERR2587465;ERR2587364;ERR2587365;ERR2587366;ERR2587367;ERR2587379;ERR2587380;ERR2587381;ERR2587382;ERR2587407;ERR2587408;ERR2587409;ERR2587410	Liver
