species	ratio	major_introns.Var1	major_introns.Freq	major_introns_svr	major_introns_busco.Var1	major_introns_busco.Freq	major_introns_busco_svr
Cimex_lectularius	0.989437771140808	2	0.266265401692331	2.06604723637675	2	0.221534892712159	1.35949352333543
Halyomorpha_halys	0.991334190465585	0	0.521089350851719	2.55297894203909	0	0.564645308924485	1.70528333374466
Halyomorpha_halys	0.991334190465585	1	0.200883002207506	2.09208010601463	1	0.215675057208238	1.35936545791866
Halyomorpha_halys	0.991334190465585	2	0.278027646940775	2.3123364725205	2	0.219679633867277	1.51531666923601
Blattella_germanica	0.999612869047862	0	0.54768556324408	1.76499878931933	0	0.573503776873911	1.23227642992171
Blattella_germanica	0.999612869047862	1	0.189861176773972	1.38105079157021	1	0.199593259732714	0.87743686763425
Blattella_germanica	0.999612869047862	2	0.262453259981949	1.51404521090443	2	0.226902963393376	0.849405317071895
Zootermopsis_nevadensis	0.985215806461466	0	0.527376624670086	3.09168773388225	0	0.563918966119455	2.45580890666203
Zootermopsis_nevadensis	0.985215806461466	1	0.201160300781834	2.36777090228694	1	0.215682850157178	1.72102880963667
Zootermopsis_nevadensis	0.985215806461466	2	0.27146307454808	2.46985493379406	2	0.220398183723367	1.82835863480762
Cryptotermes_secundus	0.990150412929022	0	0.528444245180298	3.09324271831636	0	0.563036998071191	2.52129800216267
Cryptotermes_secundus	0.990150412929022	1	0.1997694229168	2.44121646052209	1	0.214974574785201	1.81043624090107
Cryptotermes_secundus	0.990150412929022	2	0.271786331902901	2.54956300212552	2	0.221988427143609	1.79058115078401
Onthophagus_taurus	0.990676446038822	0	0.557706826428972	2.37683641610999	0	0.62338171832091	1.25888122429725
Onthophagus_taurus	0.990676446038822	1	0.18180268381189	2.06838308147304	1	0.190663005100039	1.33143015282606
Onthophagus_taurus	0.990676446038822	2	0.260490489759139	2.29218104791906	2	0.185955276579051	1.12143448349019
Tribolium_castaneum	0.987592001563212	0	0.54765367126007	2.27774750922454	0	0.610547667342799	1.19080815799043
Tribolium_castaneum	0.987592001563212	1	0.186944579091937	1.96115392244829	1	0.184922244759973	0.903363194526311
Tribolium_castaneum	0.987592001563212	2	0.265401749647993	2.29226113378252	2	0.204530087897228	0.931406716007706
Dendroctonus_ponderosae	0.99244156266007	0	0.482667677389807	2.20811285187174	0	0.533686601059803	1.26617125059017
Dendroctonus_ponderosae	0.99244156266007	1	0.216389507430394	1.78329724282296	1	0.21296997224325	1.03891555039273
Dendroctonus_ponderosae	0.99244156266007	2	0.300942815179798	1.84589783082551	2	0.253343426696947	1.14191376856582
Leptinotarsa_decemlineata	0.993840929520258	0	0.527017982240864	2.04776979145744	0	0.586183310533516	1.21922355209888
Leptinotarsa_decemlineata	0.993840929520258	1	0.188411940564901	1.68513259091669	1	0.194938440492476	1.1214984422807
Leptinotarsa_decemlineata	0.993840929520258	2	0.284570077194235	1.86772021453777	2	0.218878248974008	0.924312646024288
Anoplophora_glabripennis	0.993766956521739	0	0.5247986261602	1.99732036276271	0	0.576090180955206	1.14500626190426
Anoplophora_glabripennis	0.993766956521739	1	0.186879012143763	1.61709146688455	1	0.197864135271433	0.98574171780765
Anoplophora_glabripennis	0.993766956521739	2	0.288322361696038	1.71220095317504	2	0.226045683773361	1.02942027791519
Bombyx_mori	0.991354400506533	0	0.514953550041269	1.79594977818187	0	0.55895900506679	1.21054342836039
Bombyx_mori	0.991354400506533	1	0.217287462901498	1.45905160196819	1	0.212805158912943	0.786974129448587
Bombyx_mori	0.991354400506533	2	0.267758987057233	1.50488757825904	2	0.228235836020267	0.939992207454563
Aedes_aegypti	0.989291689905187	0	0.573890675241158	2.57883526955657	0	0.663623258049015	1.20848417089571
Aedes_aegypti	0.989291689905187	1	0.188887459807074	2.39500712113532	1	0.167707832772705	1.30718401455633
Aedes_aegypti	0.989291689905187	2	0.237221864951769	2.74446054726453	2	0.16866890917828	1.28586903493533
Ceratitis_capitata	0.989941072702023	0	0.554035907892774	2.44206627603814	0	0.615469208211144	1.34351515465624
Ceratitis_capitata	0.989941072702023	1	0.200676381359725	1.93645736971081	1	0.188782991202346	1.27595389209398
Ceratitis_capitata	0.989941072702023	2	0.245287710747501	2.23035245701823	2	0.19574780058651	1.35984942177493
Lucilia_cuprina	0.996342340056662	0	0.565998246457561	1.91599205989524	0	0.636645962732919	0.733716378986852
Lucilia_cuprina	0.996342340056662	1	0.193285629436887	1.62648439519641	1	0.184117125110914	0.702255362506725
Lucilia_cuprina	0.996342340056662	2	0.240716124105552	1.87828571916136	2	0.179236912156167	0.769376123450224
Musca_domestica	0.993607983008055	0	0.558690501830713	1.92598998198569	0	0.62854609929078	0.866405158544309
Musca_domestica	0.993607983008055	1	0.19824005415218	1.65945158878879	1	0.1875	1.0109712012413
Musca_domestica	0.993607983008055	2	0.243069444017107	1.9257070478383	2	0.18395390070922	1.00477101271572
Drosophila_grimshawi	1	0	0.560619675784479	1.28328500431855	0	0.645454545454546	0.561527636834918
Drosophila_grimshawi	1	1	0.196578124438374	1.21633004944397	1	0.178282828282828	1.01273925880008
Drosophila_grimshawi	1	2	0.242802199777147	1.34526228359073	2	0.176262626262626	0.692612731477699
Drosophila_pseudoobscura	0.98660873580589	0	0.57209881548843	2.43828771356752	0	0.645256916996047	1.10322799250508
Drosophila_pseudoobscura	0.98660873580589	1	0.192417967505575	2.07030205321518	1	0.176877470355731	1.19725006718654
Drosophila_pseudoobscura	0.98660873580589	2	0.235483217005995	2.33262064230752	2	0.177865612648221	1.25317377944212
Drosophila_suzukii	0.991567180166319	0	0.573321582575305	2.07607996588851	0	0.645161290322581	1.05447125892615
Drosophila_suzukii	0.991567180166319	1	0.192061943281609	1.68751912129251	1	0.182443151771549	0.925912576430995
Drosophila_suzukii	0.991567180166319	2	0.234616474143086	2.04464722135404	2	0.17239555790587	1.38531930992521
Drosophila_melanogaster	0.983949250681199	0	0.573545266067726	2.64766990054137	0	0.654082114204814	1.09341673878863
Drosophila_melanogaster	0.983949250681199	1	0.190960608154803	2.19856039564401	1	0.173666823973572	0.837856713211319
Drosophila_melanogaster	0.983949250681199	2	0.235494125777471	2.55527775213127	2	0.172251061821614	1.53194536033364
Athalia_rosae	0.988931963279482	0	0.531172347290732	2.65025168219375	0	0.580298786181139	1.62899821491545
Athalia_rosae	0.988931963279482	1	0.201535437451322	2.23242632319753	1	0.212885154061625	1.11815412207151
Athalia_rosae	0.988931963279482	2	0.267292215257946	2.22225585266455	2	0.206816059757236	1.51807918372718
Cephus_cinctus	0.978565462236952	0	0.535899883338636	3.6897298478467	0	0.585755813953488	2.44275202899858
Cephus_cinctus	0.978565462236952	1	0.200109590978188	3.09225890906776	1	0.210271317829457	1.77259440867369
Cephus_cinctus	0.978565462236952	2	0.263990525683176	3.28250390244835	2	0.203972868217054	2.00767862990816
Orussus_abietinus	0.988105152338901	0	0.537746857180599	2.76418465622239	0	0.586904188733751	2.17673754645392
Orussus_abietinus	0.988105152338901	1	0.20320996895709	2.00718100263297	1	0.209436687530091	1.17495450385519
Orussus_abietinus	0.988105152338901	2	0.25904317386231	2.11932311246507	2	0.203659123736158	1.9204927013684
Nasonia_vitripennis	0.988947453342656	0	0.529795652695226	2.40648784420745	0	0.57467362924282	1.25724542828122
Nasonia_vitripennis	0.988947453342656	1	0.199653997019578	2.07700022661364	1	0.216971279373368	0.878542776685944
Nasonia_vitripennis	0.988947453342656	2	0.270550350285196	2.12764561493412	2	0.208355091383812	1.07169977590343
Trichogramma_pretiosum	0.992468488217333	0	0.545210687506601	2.18324037225011	0	0.580617738736186	0.960542903889745
Trichogramma_pretiosum	0.992468488217333	1	0.199788784454536	1.79959099226856	1	0.211674695381128	0.687103947393797
Trichogramma_pretiosum	0.992468488217333	2	0.255000528038864	1.97393701516663	2	0.207707565882686	0.806719210135345
Polistes_dominula	0.988575340381836	0	0.5308853238265	2.26356730416717	0	0.576467420570813	1.53476440190063
Polistes_dominula	0.988575340381836	1	0.20389780154486	2.026632448279	1	0.215401184706516	0.932955535289715
Polistes_dominula	0.988575340381836	2	0.265216874628639	2.03515388568744	2	0.208131394722671	1.52696448767609
Polistes_canadensis	0.989271093125029	0	0.532202900939509	2.74182171869897	0	0.57843137254902	1.97849127546866
Polistes_canadensis	0.989271093125029	1	0.202859732981704	2.35958176697875	1	0.214968914395026	1.3786360945123
Polistes_canadensis	0.989271093125029	2	0.264937366078787	2.45864138549447	2	0.206599713055954	1.5893336013856
Megachile_rotundata	0.980255399925221	0	0.532739484203478	4.54327688087746	0	0.580004783544607	3.6901188625202
Megachile_rotundata	0.980255399925221	1	0.203274962968975	3.73812206242299	1	0.213106912221956	2.90110427051118
Megachile_rotundata	0.980255399925221	2	0.263985552827547	3.89751989066614	2	0.206888304233437	3.30195993522657
Bombus_terrestris	0.987096485470493	0	0.528531210562081	3.31245379682671	0	0.575208581644815	2.1974883781109
Bombus_terrestris	0.987096485470493	1	0.201630909620425	2.76574657117601	1	0.206912991656734	1.92376109641596
Bombus_terrestris	0.987096485470493	2	0.269837879817493	2.86297822593804	2	0.217878426698451	2.1129096346947
Apis_florea	0.990231362467866	0	0.529366223503657	2.28926617204616	0	0.559589581689029	1.89299666163641
Apis_florea	0.990231362467866	1	0.200784879064552	1.74137507536275	1	0.209681662720337	1.2916705095238
Apis_florea	0.990231362467866	2	0.26984889743179	1.88688315393631	2	0.230728755590634	1.67335993614587
Apis_mellifera	0.982635236246722	0	0.531906385085598	3.35594973859208	0	0.580286904211013	2.20390861735555
Apis_mellifera	0.982635236246722	1	0.201550092358083	2.77733419740752	1	0.212401665895419	1.57726890120738
Apis_mellifera	0.982635236246722	2	0.266543522556319	3.11984947929104	2	0.207311429893568	2.19276660241647
Apis_cerana	0.987282834201733	0	0.534187948723077	3.03620989036067	0	0.581551466931875	2.45295168823729
Apis_cerana	0.987282834201733	1	0.202667839929604	2.44658213319636	1	0.209099950273496	1.62400265244151
Apis_cerana	0.987282834201733	2	0.263144211347319	2.64334208565503	2	0.20934858279463	1.9846388446486
Harpegnathos_saltator	0.986124809165462	0	0.532476177130045	2.95419702294993	0	0.578640776699029	2.06511184526464
Harpegnathos_saltator	0.986124809165462	1	0.204263593049327	2.54707942008562	1	0.211893203883495	1.56295418299349
Harpegnathos_saltator	0.986124809165462	2	0.263260229820628	2.54670484363055	2	0.209466019417476	1.49061951589191
Linepithema_humile	0.989890573793257	0	0.525131084158678	2.60509087237519	0	0.578761478690841	1.43804543748886
Linepithema_humile	0.989890573793257	1	0.206468583937998	2.19249551827717	1	0.211914292441724	0.939608997443074
Linepithema_humile	0.989890573793257	2	0.268400331903324	2.29907442069752	2	0.209324228867436	1.28414826351308
Camponotus_floridanus	0.989813510916916	0	0.529340021300718	2.53289285398733	0	0.578047042052744	1.52269313925353
Camponotus_floridanus	0.989813510916916	1	0.206960524959632	2.14613331644516	1	0.215490615348064	1.19027951411008
Camponotus_floridanus	0.989813510916916	2	0.26369945373965	2.34774175683953	2	0.206462342599192	1.41856711106394
Pogonomyrmex_barbatus	0.991285729258688	0	0.527728846504282	2.7156827789345	0	0.574848790322581	1.91329130608752
Pogonomyrmex_barbatus	0.991285729258688	1	0.202393245459515	2.26232959422638	1	0.213709677419355	1.36462279891155
Pogonomyrmex_barbatus	0.991285729258688	2	0.269877908036202	2.3354496500703	2	0.211441532258065	1.50992253800112
Acromyrmex_echinatior	0.990710494079216	0	0.528916251343692	2.93043763066156	0	0.577164973391389	2.15948746489021
Acromyrmex_echinatior	0.990710494079216	1	0.206351998436431	2.53622529946253	1	0.213836477987421	1.6242780261724
Acromyrmex_echinatior	0.990710494079216	2	0.264731750219877	2.49482791831591	2	0.20899854862119	1.60675741280178
Solenopsis_invicta	0.990105083480023	0	0.530382999063913	2.5379146616952	0	0.57752808988764	1.81478303147109
Solenopsis_invicta	0.990105083480023	1	0.203569081240415	2.1376952532222	1	0.216729088639201	1.04836900414451
Solenopsis_invicta	0.990105083480023	2	0.266047919695672	2.24108431042443	2	0.205742821473159	1.53658447095971
