#species: Scientific name.
#average_mira: Average abundance relative to the major isoform by 5% bins.
#framepreserving_proportion: Proportion of frame-preserving spliced variants.
#XerrorBar: Standard deviation on x axis.
#intervalle: Intervalle of the abundance relative to the major isoform.
#Freq: Number of spliced variants by bins.
species	average_mira	framepreserving_proportion	XerrorBar	intervalle	Freq
Equus_caballus	0.00147928311946858	0.353092783505155	0.00000304027721066764	(0.00131,0.00166]	1164
Equus_caballus	0.00186659695317154	0.352233676975945	0.00000339870521322017	(0.00166,0.00208]	1164
Equus_caballus	0.00232123678159273	0.325561312607945	0.00000407560240415	(0.00208,0.00257]	1158
Equus_caballus	0.00286975392733472	0.324440619621343	0.00000524555430260882	(0.00257,0.00319]	1162
Equus_caballus	0.00357133628696404	0.338723404255319	0.00000648445074435883	(0.00319,0.00395]	1175
Equus_caballus	0.00442253561722456	0.325520833333333	0.000008068992341049	(0.00395,0.00491]	1152
Equus_caballus	0.00552875800957639	0.307758620689655	0.0000108369733971141	(0.00491,0.00619]	1160
Equus_caballus	0.00702296243316193	0.313356164383562	0.0000151876636783934	(0.00619,0.00798]	1168
Equus_caballus	0.00912122320371821	0.322107081174439	0.0000208061157934354	(0.00798,0.0105]	1158
Equus_caballus	0.0121704811075213	0.313522825150732	0.0000302672557724944	(0.0105,0.0142]	1161
Equus_caballus	0.0171113473531435	0.337059329320722	0.000055154327987793	(0.0142,0.0206]	1163
Equus_caballus	0.0261001245111641	0.324720068906115	0.000103526404665813	(0.0206,0.0332]	1161
Equus_caballus	0.0447777710226298	0.393626184323859	0.00023118495872781	(0.0332,0.061]	1161
Equus_caballus	0.0948667793109034	0.515490533562823	0.000697752628790368	(0.061,0.144]	1162
Equus_caballus	0.282494183076555	0.787618228718831	0.00290939473590149	(0.144,0.498]	1163
Bos_taurus	0.0000901893422749517	0.397712833545108	0.00000187340548421309	[1.48e-06,0.000183]	787
Bos_taurus	0.000291255306956803	0.408396946564886	0.00000230703375038303	(0.000183,0.000406]	786
Bos_taurus	0.000519741888624688	0.407878017789072	0.00000231763516621628	(0.000406,0.00063]	787
Bos_taurus	0.000756540430703468	0.36848792884371	0.00000260529115447955	(0.00063,0.000885]	787
Bos_taurus	0.00103085325047559	0.378343949044586	0.00000316931748271437	(0.000885,0.00118]	785
Bos_taurus	0.00135144339135106	0.338832487309645	0.00000338146869390364	(0.00118,0.00151]	788
Bos_taurus	0.00171055225370807	0.397712833545108	0.00000418824897471481	(0.00151,0.00192]	787
Bos_taurus	0.00215410444957938	0.368956743002545	0.00000512963947044859	(0.00192,0.00242]	786
Bos_taurus	0.00271938833758818	0.342205323193916	0.00000646526714837035	(0.00242,0.00303]	789
Bos_taurus	0.00337917435530266	0.371647509578544	0.00000740608914235018	(0.00303,0.00376]	783
Bos_taurus	0.00427711807341623	0.365605095541401	0.00001070736306894	(0.00376,0.0048]	785
Bos_taurus	0.0055116334504323	0.350698856416773	0.0000146030840950209	(0.0048,0.00624]	787
Bos_taurus	0.00713018489572886	0.359039190897598	0.0000204137748804628	(0.00624,0.0082]	791
Bos_taurus	0.00973271583133965	0.381074168797954	0.0000327823858293292	(0.0082,0.0114]	782
Bos_taurus	0.0136350270814267	0.343037974683544	0.0000528911360891197	(0.0114,0.0165]	790
Bos_taurus	0.0206669088600903	0.375634517766497	0.0000953318064879774	(0.0165,0.0256]	788
Bos_taurus	0.0343217332870511	0.417721518987342	0.000210532342085646	(0.0256,0.0455]	790
Bos_taurus	0.0628944798600487	0.518661518661519	0.00039195076462101	(0.0455,0.0835]	777
Bos_taurus	0.132676156152826	0.669211195928753	0.00117484250085494	(0.0835,0.197]	786
Bos_taurus	0.327333464373818	0.850063532401525	0.00313951844641686	(0.197,0.499]	787
Sus_scrofa	0.0000358359823039438	0.400180668473351	0.000000690827969168066	[4.22e-07,7.83e-05]	1107
Sus_scrofa	0.00014730998114661	0.402890695573622	0.00000128340925925841	(7.83e-05,0.000224]	1107
Sus_scrofa	0.00030493953620528	0.408310749774164	0.00000150442201712966	(0.000224,0.000396]	1107
Sus_scrofa	0.000502812387452913	0.377597109304426	0.00000186195299026352	(0.000396,0.000611]	1107
Sus_scrofa	0.000727557107466908	0.396209386281588	0.00000217195173814866	(0.000611,0.000858]	1108
Sus_scrofa	0.00100418033788394	0.375565610859729	0.00000259688329978125	(0.000858,0.00116]	1105
Sus_scrofa	0.0013402005809359	0.369369369369369	0.0000034005231502042	(0.00116,0.00154]	1110
Sus_scrofa	0.00175651459973989	0.352355072463768	0.00000388579600481161	(0.00154,0.00198]	1104
